l2_error,_timestamp,loss,step,loss_boundary,loss_interior,_step,time,_runtime
0.029696767368155158,1744655628.8709168,0.001031527792900086,229,0.0005326139707858453,0.0004989138221142408,59,651.6765325069427,659.1327269077301
0.02900865382154811,1744655693.8203752,0.0006320664967802521,252,0.00035343970721931885,0.00027862678956093326,60,716.6261670589447,724.0821852684021
0.026921937663946693,1744655764.4501603,0.0007755115420476487,277,0.0004258860311916782,0.0003496255108559706,61,787.2559285163879,794.7119703292847
0.026026766201375808,1744655843.2422204,0.0004807171947520273,305,0.0003000281845918917,0.00018068901016013558,62,866.0480315685272,873.5040304660797
0.023204035650359854,1744655927.6623235,0.0004924634848740561,335,0.0002737369392301121,0.00021872654564394401,63,950.4681098461151,957.9241335391998
0.022699171866216956,1744656023.3270972,0.000458576196217013,369,0.000236358649963844,0.000222217546253169,64,1046.1327815055847,1053.5889072418213
0.024610039028768366,1744656127.419002,0.0005812322650080065,406,0.0003142005921982584,0.0002670316728097481,65,1150.2246453762054,1157.6808121204376
0.021499484718961213,1744656239.9709823,0.0005161162674526378,446,0.00030625627960218833,0.00020985998785044946,66,1262.7767128944397,1270.232792377472
0.02065610155668084,1744656366.6312525,0.00033381253578793253,491,0.00016406137943348963,0.00016975115635444292,67,1389.4365413188934,1396.8930625915527
0.017444221013453654,1744656504.473643,0.0003698956309998216,540,0.00014814480977314392,0.00022175082122667764,68,1527.2794189453125,1534.7354531288147
0.016141079528756434,1744656656.3416514,0.0004472341839159928,594,0.00023134693118118937,0.00021588725273480346,69,1679.1474921703339,1686.6034615039825
0.017601972649698323,1744656822.260801,0.0003209714291238184,653,0.00019045076447567324,0.00013052066464814513,70,1845.066688299179,1852.5226111412048
0.016228232828306283,1744657005.0943785,0.000213296127196155,718,9.943481885291836e-05,0.00011386130834323663,71,2027.9001867771149,2035.3561885356903
0.01524966960798869,1744657207.598182,0.0002699077954942643,790,0.00013667333156173453,0.00013323446393252982,72,2230.4038071632385,2237.8599920272827
0.014303733165085963,1744657429.8046956,0.00025982357446522936,869,0.00013497250731182958,0.00012485106715339974,73,2452.610315799713,2460.0665056705475
0.013811313167327793,1744657674.5265386,0.00022465924357422545,956,8.749743057720619e-05,0.00013716181299701927,74,2697.3324031829834,2704.788348674774
0.013370543218062832,1744657944.5715468,0.00020459592509517471,1052,0.00010764507417236446,9.695085092281025e-05,75,2967.3769912719727,2974.8333568573
0.012653380733891642,1744658240.0632396,0.00021357945493596453,1157,0.00011599808007970655,9.758137485625797e-05,76,3262.8690111637115,3270.325049638748
0.012593202203635917,1744658563.6136072,0.0001699681807890156,1272,8.385975344170413e-05,8.610842734731145e-05,77,3586.4194712638855,3593.8754172325134
0.010647410582709042,1744658923.6805317,0.00013927200868088575,1400,5.7869500651235046e-05,8.14025080296507e-05,78,3946.486428499222,3953.9423418045044
0.009729641997373462,1744659314.6407285,0.00012914615143011588,1539,5.290040716080773e-05,7.624574426930814e-05,79,4337.4464638233185,4344.902538537979
0.009444549063229005,1744659747.756876,0.00010153070285815846,1693,4.3143902605114846e-05,5.838680025304362e-05,80,4770.56254029274,4778.018686056137
0.009422113102419642,1744660225.941066,0.00011682329399164313,1863,4.3688390543471375e-05,7.313490344817175e-05,81,5248.746874809265,5256.202876091003
0.009676777716645064,1744660749.2001657,0.00014022443931917023,2049,5.121164403697337e-05,8.901279528219685e-05,82,5772.005834817886,5779.461975812912
0.008721313452795709,1744661325.8929431,9.750083070064525e-05,2254,3.99180741945501e-05,5.7582756506095145e-05,83,6348.698753118515,6356.15475320816
0.008559500551212263,1744661958.8365288,9.934083965357606e-05,2479,3.810716249468902e-05,6.123367715888704e-05,84,6981.642269849777,6989.098338842392
0.009473271398197973,1744661978.5386417,6.856557799629981e-05,2486,2.209403375166735e-05,4.647154424463245e-05,85,7001.344718456268,7008.800451755524
